market,locale,campaign,ad_group,keyword,match_type,search_match,max_cpt_usd,cpp_brief,priority,notes
Mexico,es-MX,SP_es-MX_Search_Exact_Core,Brand_Exact,StudyPlanner,EXACT,off,0.70,cpp_assignments,1,Defensive branded demand
Mexico,es-MX,SP_es-MX_Search_Exact_Core,Brand_Exact,StudyPlanner app,EXACT,off,0.70,cpp_assignments,1,Defensive branded demand
Mexico,es-MX,SP_es-MX_Search_Exact_Core,Category_Assignments_Exact,agenda escolar,EXACT,off,0.55,cpp_assignments,1,High-intent localized planner phrase
Mexico,es-MX,SP_es-MX_Search_Exact_Core,Category_Class_Schedule_Exact,agenda universitaria,EXACT,off,0.55,cpp_class_schedule,1,University planner intent
Mexico,es-MX,SP_es-MX_Search_Exact_Core,Category_Class_Schedule_Exact,horario clases,EXACT,off,0.50,cpp_class_schedule,1,Class schedule intent
Mexico,es-MX,SP_es-MX_Search_Exact_Core,Category_Assignments_Exact,tareas escolares,EXACT,off,0.50,cpp_assignments,1,Homework/task intent
Mexico,es-MX,SP_es-MX_Search_Exact_Core,Category_Assignments_Exact,organizador tareas,EXACT,off,0.50,cpp_assignments,1,Task organization intent
Mexico,es-MX,SP_es-MX_Search_Exact_Core,Category_Class_Schedule_Exact,calendario escolar,EXACT,off,0.45,cpp_class_schedule,2,Calendar intent
Mexico,es-MX,SP_es-MX_Search_Exact_Core,Category_Study_Exams_Exact,planificador estudio,EXACT,off,0.50,cpp_exam_study,1,Study planning intent
Mexico,es-MX,SP_es-MX_Search_Exact_Core,Category_Study_Exams_Exact,estudiar examenes,EXACT,off,0.45,cpp_exam_study,2,Exam prep intent
Mexico,es-MX,SP_es-MX_Search_Exact_Core,Category_Assignments_Exact,planner estudiante,EXACT,off,0.45,cpp_assignments,2,English/Spanish hybrid query
Brazil,pt-BR,SP_pt-BR_Search_Exact_Core,Brand_Exact,StudyPlanner,EXACT,off,0.70,cpp_assignments,1,Defensive branded demand
Brazil,pt-BR,SP_pt-BR_Search_Exact_Core,Category_Assignments_Exact,agenda escolar,EXACT,off,0.55,cpp_assignments,1,High-intent planner phrase
Brazil,pt-BR,SP_pt-BR_Search_Exact_Core,Category_Study_Exams_Exact,cronograma estudos,EXACT,off,0.55,cpp_exam_study,1,Study schedule intent
Brazil,pt-BR,SP_pt-BR_Search_Exact_Core,Category_Class_Schedule_Exact,horario aulas,EXACT,off,0.50,cpp_class_schedule,1,Class schedule intent
